change,months,cycle,date,effective_rate
0.11,3,'99-'00,April 1999,4.74
0.11,4,'99-'00,May 1999,4.74
0.13,5,'99-'00,June 1999,4.76
0.36,6,'99-'00,July 1999,4.99
0.44,7,'99-'00,August 1999,5.07
0.59,8,'99-'00,September 1999,5.22
0.57,9,'99-'00,October 1999,5.2
0.79,10,'99-'00,November 1999,5.42
0.67,11,'99-'00,December 1999,5.3
0.82,12,'99-'00,January 2000,5.45
1.1,13,'99-'00,February 2000,5.73
1.22,14,'99-'00,March 2000,5.85
1.39,15,'99-'00,April 2000,6.02
1.64,16,'99-'00,May 2000,6.27
1.9,17,'99-'00,June 2000,6.53
1.91,18,'99-'00,July 2000,6.54
0.0,0,'04-'06,May 2004,1.0
0.03,1,'04-'06,June 2004,1.03
0.26,2,'04-'06,July 2004,1.26
0.43,3,'04-'06,August 2004,1.43
0.61,4,'04-'06,September 2004,1.61
0.76,5,'04-'06,October 2004,1.76
0.93,6,'04-'06,November 2004,1.93
1.16,7,'04-'06,December 2004,2.16
1.28,8,'04-'06,January 2005,2.28
1.5,9,'04-'06,February 2005,2.5
1.63,10,'04-'06,March 2005,2.63
1.79,11,'04-'06,April 2005,2.79
2.0,12,'04-'06,May 2005,3.0
2.04,13,'04-'06,June 2005,3.04
2.26,14,'04-'06,July 2005,3.26
2.5,15,'04-'06,August 2005,3.5
2.62,16,'04-'06,September 2005,3.62
2.78,17,'04-'06,October 2005,3.78
3.0,18,'04-'06,November 2005,4.0
3.16,19,'04-'06,December 2005,4.16
3.29,20,'04-'06,January 2006,4.29
3.49,21,'04-'06,February 2006,4.49
3.59,22,'04-'06,March 2006,4.59
3.79,23,'04-'06,April 2006,4.79
3.94,24,'04-'06,May 2006,4.94
3.99,25,'04-'06,June 2006,4.99
4.24,26,'04-'06,July 2006,5.24
4.25,27,'04-'06,August 2006,5.25
0.0,0,'15-'18,November 2015,0.12
0.12,1,'15-'18,December 2015,0.24
0.22,2,'15-'18,January 2016,0.34
0.26,3,'15-'18,February 2016,0.38
0.24,4,'15-'18,March 2016,0.36
0.25,5,'15-'18,April 2016,0.37
0.25,6,'15-'18,May 2016,0.37
0.26,7,'15-'18,June 2016,0.38
0.27,8,'15-'18,July 2016,0.39
0.28,9,'15-'18,August 2016,0.4
0.28,10,'15-'18,September 2016,0.4
0.28,11,'15-'18,October 2016,0.4
0.29,12,'15-'18,November 2016,0.41
0.42,13,'15-'18,December 2016,0.54
0.53,14,'15-'18,January 2017,0.65
0.54,15,'15-'18,February 2017,0.66
0.67,16,'15-'18,March 2017,0.79
0.78,17,'15-'18,April 2017,0.9
0.79,18,'15-'18,May 2017,0.91
0.92,19,'15-'18,June 2017,1.04
1.03,20,'15-'18,July 2017,1.15
1.04,21,'15-'18,August 2017,1.16
1.03,22,'15-'18,September 2017,1.15
1.03,23,'15-'18,October 2017,1.15
1.04,24,'15-'18,November 2017,1.16
1.18,25,'15-'18,December 2017,1.3
1.29,26,'15-'18,January 2018,1.41
1.3,27,'15-'18,February 2018,1.42
1.39,28,'15-'18,March 2018,1.51
1.57,29,'15-'18,April 2018,1.69
1.58,30,'15-'18,May 2018,1.7
1.7,31,'15-'18,June 2018,1.82
1.79,32,'15-'18,July 2018,1.91
1.79,33,'15-'18,August 2018,1.91
1.83,34,'15-'18,September 2018,1.95
2.07,35,'15-'18,October 2018,2.19
2.08,36,'15-'18,November 2018,2.2
2.15,37,'15-'18,December 2018,2.27
2.28,38,'15-'18,January 2019,2.4
0.0,0,'22-present,January 2022,0.08
0.0,1,'22-present,February 2022,0.08
0.12,2,'22-present,March 2022,0.2
0.25,3,'22-present,April 2022,0.33
0.69,4,'22-present,May 2022,0.77
1.13,5,'22-present,June 2022,1.21
1.6,6,'22-present,July 2022,1.68
2.25,7,'22-present,August 2022,2.33
2.48,8,'22-present,September 2022,2.56
3.0,9,'22-present,October 2022,3.08
3.7,10,'22-present,November 2022,3.78
4.02,11,'22-present,December 2022,4.1
4.25,12,'22-present,January 2023,4.33
4.49,13,'22-present,February 2023,4.57
4.57,14,'22-present,March 2023,4.65
4.75,15,'22-present,April 2023,4.83
4.98,16,'22-present,May 2023,5.06
5.0,17,'22-present,June 2023,5.08
5.04,18,'22-present,July 2023,5.12
5.25,19,'22-present,August 2023,5.33
5.25,20,'22-present,September 2023,5.33
5.25,21,'22-present,October 2023,5.33
5.25,22,'22-present,November 2023,5.33
5.25,23,'22-present,December 2023,5.33
5.25,24,'22-present,January 2024,5.33
5.25,25,'22-present,February 2024,5.33
5.25,26,'22-present,March 2024,5.33
5.25,27,'22-present,April 2024,5.33
5.25,28,'22-present,May 2024,5.33
5.25,29,'22-present,June 2024,5.33
5.25,30,'22-present,July 2024,5.33
5.25,31,'22-present,August 2024,5.33
5.05,32,'22-present,September 2024,5.13
