change,months,cycle,date,effective_rate
0.0,0,'87-'89,October 1986,5.85
0.19,1,'87-'89,November 1986,6.04
1.06,2,'87-'89,December 1986,6.91
0.58,3,'87-'89,January 1987,6.43
0.25,4,'87-'89,February 1987,6.1
0.28,5,'87-'89,March 1987,6.13
0.52,6,'87-'89,April 1987,6.37
1.0,7,'87-'89,May 1987,6.85
0.88,8,'87-'89,June 1987,6.73
0.73,9,'87-'89,July 1987,6.58
0.88,10,'87-'89,August 1987,6.73
1.37,11,'87-'89,September 1987,7.22
1.44,12,'87-'89,October 1987,7.29
0.84,13,'87-'89,November 1987,6.69
0.92,14,'87-'89,December 1987,6.77
0.98,15,'87-'89,January 1988,6.83
0.73,16,'87-'89,February 1988,6.58
0.73,17,'87-'89,March 1988,6.58
1.02,18,'87-'89,April 1988,6.87
1.24,19,'87-'89,May 1988,7.09
1.66,20,'87-'89,June 1988,7.51
1.9,21,'87-'89,July 1988,7.75
2.16,22,'87-'89,August 1988,8.01
2.34,23,'87-'89,September 1988,8.19
2.45,24,'87-'89,October 1988,8.3
2.5,25,'87-'89,November 1988,8.35
2.91,26,'87-'89,December 1988,8.76
3.27,27,'87-'89,January 1989,9.12
3.51,28,'87-'89,February 1989,9.36
4.0,29,'87-'89,March 1989,9.85
3.99,30,'87-'89,April 1989,9.84
0.0,0,'94-'95,January 1994,3.05
0.2,1,'94-'95,February 1994,3.25
0.29,2,'94-'95,March 1994,3.34
0.51,3,'94-'95,April 1994,3.56
0.96,4,'94-'95,May 1994,4.01
1.2,5,'94-'95,June 1994,4.25
1.21,6,'94-'95,July 1994,4.26
1.42,7,'94-'95,August 1994,4.47
1.68,8,'94-'95,September 1994,4.73
1.71,9,'94-'95,October 1994,4.76
2.24,10,'94-'95,November 1994,5.29
2.4,11,'94-'95,December 1994,5.45
2.48,12,'94-'95,January 1995,5.53
2.87,13,'94-'95,February 1995,5.92
2.93,14,'94-'95,March 1995,5.98
3.0,15,'94-'95,April 1995,6.05
0.0,0,'99-'00,January 1999,4.63
0.13,1,'99-'00,February 1999,4.76
0.18,2,'99-'00,March 1999,4.81
