year,country,counterpart_area,expected_payments,expected_payments_at_new_rate
2017,Africa,Bondholders,16.571,4.997
2018,Africa,Bondholders,20.324,6.859
2019,Africa,Bondholders,20.763,8.063
2020,Africa,Bondholders,10.175,2.529
2021,Africa,Bondholders,13.719,2.699
