year,country,counterpart_area,expected_payments,expected_payments_at_new_rate
2017,Middle income countries,Bondholders,109.05,45.551
2018,Middle income countries,Bondholders,124.85,60.955
2019,Middle income countries,Bondholders,138.373,74.315
2020,Middle income countries,Bondholders,124.077,36.779
2021,Middle income countries,Bondholders,102.487,28.591
