months,date,effective_rate,'04-'06,'15-'18,'22-present,'87-'89,'94-'95,'99-'00
31,June 2018,1.82,,1.7,,,,
32,July 2018,1.91,,1.79,,,,
32,September 2024,5.13,,,5.05,,,
33,August 2018,1.91,,1.79,,,,
33,October 2024,4.83,,,4.75,,,
34,September 2018,1.95,,1.83,,,,
35,October 2018,2.19,,2.07,,,,
36,November 2018,2.2,,2.08,,,,
37,December 2018,2.27,,2.15,,,,
38,January 2019,2.4,,2.28,,,,
